first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Robert,Elliot,0,0,57,1440,21,0.0,364.2,0.0,4,280,36.5,3,0,0,14.7,40
Karl,Darlow,0,0,33,900,15,0.0,258.8,0.0,2,172,25.9,2,0,0,0.3,43
DeAndre,Yedlin,0,2,76,2459,34,272.8,441.4,49.0,5,410,76.4,6,0,4,1.6,45
Ciaran,Clark,2,1,64,1745,30,50.8,433.6,190.0,6,317,67.5,4,0,3,1.6,43
Jamaal,Lascelles,3,0,103,2477,26,62.7,687.0,209.0,9,477,96.3,8,0,5,9.4,48
Paul,Dummett,0,0,40,1185,13,66.1,277.6,5.0,0,213,34.9,4,0,1,0.9,42
Grant,Hanley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40
Jesús,Gámez Duarte,0,0,9,97,0,47.6,32.2,4.0,2,38,8.4,1,0,0,1.5,39
Florian,Lejeune,0,1,48,1653,27,36.8,427.2,120.0,4,308,58.5,4,0,3,0.8,43
Matt,Ritchie,3,7,107,2436,32,715.0,518.2,459.0,10,447,169.4,8,0,5,2.1,54
Jonjo,Shelvey,1,3,59,1822,25,472.8,353.4,210.0,4,284,103.5,5,2,2,0.6,52
Yoan,Gouffran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Mohamed,Diamé,2,0,61,1595,22,145.0,335.4,147.0,3,266,63.0,5,0,1,0.2,46
Jack,Colback,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,42
Christian,Atsu,2,4,78,1776,22,340.6,308.8,480.0,5,236,112.9,6,0,1,1.4,48
Dwight,Gayle,5,3,81,1643,27,292.0,308.0,628.0,7,240,122.4,6,0,3,1.1,61
Ayoze,Pérez,5,6,100,2049,23,441.9,445.0,578.0,12,318,146.3,7,0,2,4.2,53
Aleksandar,Mitrovic,1,0,10,89,0,44.7,48.2,73.0,0,37,16.6,0,0,0,0.6,47
Daryl,Murphy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45
Massadio,Haidara,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.8,39
Siem,de Jong,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Rolando,Aarons,0,0,5,136,2,8.1,12.0,25.0,0,19,4.6,0,0,0,0.1,43
Javier,Manquillo,0,0,45,1691,29,144.5,244.8,22.0,1,229,41.3,4,0,2,0.7,42
Jacob,Murphy,1,1,41,933,23,123.9,144.4,177.0,2,140,44.6,1,0,0,0.1,50
Jose Luis,Mato Sanmartín,4,1,66,1635,25,250.4,291.2,502.0,5,217,103.8,5,0,2,0.4,55
Chancel,Mbemba,0,0,20,670,11,67.1,158.2,6.0,3,133,23.2,1,0,0,10.7,39
Mikel,Merino,1,1,47,1324,18,231.9,368.6,132.0,4,262,73.4,3,0,4,0.1,49
Isaac,Hayden,1,0,40,1347,25,164.4,270.2,144.0,0,170,57.8,3,0,7,0.2,44
Henri,Saivet,1,0,8,83,2,0.8,49.8,7.0,1,27,5.8,0,0,0,0.0,44
Freddie,Woodman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Martin,Dubravka,0,0,28,630,6,0.0,90.2,0.0,2,116,9.0,3,0,0,0.7,45
Alex,McCarthy,0,0,37,1260,23,0.0,201.6,0.0,2,211,20.2,3,0,1,0.4,44
Fraser,Forster,0,0,73,1800,30,0.0,488.2,0.0,6,351,48.9,4,0,0,3.9,46
Ryan,Bertrand,0,5,87,2785,47,558.8,487.4,231.0,4,502,127.9,6,0,2,5.0,53
Maya,Yoshida,2,1,74,1785,29,65.9,479.4,236.0,6,383,78.3,6,0,1,1.6,46
Matt,Targett,0,0,2,166,6,38.6,42.2,0.0,0,35,8.1,0,0,0,0.1,43
Cédric,Soares,0,2,72,2434,41,396.8,437.0,155.0,2,421,99.0,6,0,1,3.4,47
Jérémy,Pied,0,1,7,180,3,29.9,65.8,4.0,1,47,10.0,0,0,0,0.1,42
Jack,Stephens,2,0,50,1800,32,67.3,454.8,142.0,2,321,66.4,4,1,6,0.5,45
Sam,McQueen,0,0,12,126,1,34.2,23.4,8.0,2,40,6.6,1,0,0,0.1,42
