assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,59125,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Connor,0.0,0,0,0.0,133,False,0.0,0,0,0,0,0,Groin Injury - Unknown return date,2017-07-12T10:31:11Z,54,0,0,0,59125.jpg,0.0,0,0,Wickham,0.0,False,21,i,6,31,0.0,0,1129,1,2162,1,0.0,0.0,Wickham,0
7,5,147,100,100,6,54861,0,0,-5,5,399.1,0,0,4,0.8,1.3,1,Christian,0.8,36,2,147.8,134,False,285.6,0,0,0,0,2181,,2018-04-14T13:31:19Z,75,0,1,0,54861.jpg,2.8,0,0,Benteke,2.5,False,17,a,6,31,795.0,77,189685,50,519865,167,0.1,10.3,Benteke,6
1,13,314,100,100,4,40784,0,0,-4,4,16.6,3,0,2,2.8,3.3,8,Mamadou,2.8,22,1,44.8,221,False,352.6,0,0,0,0,1327,,2018-03-10T17:01:18Z,46,0,0,0,40784.jpg,3.7,0,0,Sakho,0.5,False,12,a,6,31,77.0,59,153424,118,142464,35,0.6,12.8,Sakho,1
0,3,279,100,100,2,201084,0,0,-1,1,103.7,0,0,2,0.3,0.8,0,Timothy,0.3,29,0,47.4,269,False,326.6,0,0,0,0,1592,,2018-02-24T20:31:18Z,44,0,0,0,201084.jpg,1.9,0,0,Fosu-Mensah,1.0,False,24,a,6,31,43.0,39,70577,7,105937,55,0.1,8.9,Fosu-Mensah,2
0,0,100,100,100,2,173954,0,0,-4,4,21.5,0,0,2,0.3,0.8,0,Jairo,0.3,6,0,10.6,482,False,74.4,0,0,0,0,435,,2017-08-19T17:01:14Z,46,0,0,0,173954.jpg,1.9,0,0,Riedewald,0.1,False,44,a,6,31,12.0,23,1615,0,16715,2,0.1,5.0,Riedewald,0
0,0,0,None,None,0,218112,0,0,-2,2,0.0,0,0,3,0.0,0.5,0,Jason,0.0,0,0,0.0,491,False,0.0,0,0,0,0,0,,None,43,0,0,0,218112.jpg,0.0,0,0,Lokilo,0.1,False,28,a,6,31,0.0,0,14220,0,16249,3,0.0,0.0,Lokilo,0
0,0,3,0,0,0,94926,0,0,0,0,1.1,0,0,4,0.0,0.0,0,Olayinka Fredrick Oladotun,0.0,1,0,0.2,505,False,0.4,0,0,0,0,16,Transferred to Southend,2018-02-01T09:31:18Z,45,0,0,0,94926.jpg,1.0,0,0,Ladapo,1.0,False,19,u,6,31,0.0,1,208520,2,160256,44,0.0,0.2,Ladapo,0
0,0,5,0,0,0,138009,0,0,-2,2,0.3,0,0,3,0.0,0.0,0,Sullay,0.0,0,0,0.6,515,False,5.2,0,0,0,0,13,Season-long loan to Charlton,2018-01-29T09:33:18Z,43,0,0,0,138009.jpg,1.0,0,0,Kaikai,0.1,False,25,u,6,31,0.0,1,13265,0,12158,0,0.0,0.2,Kaikai,0
0,0,0,0,0,0,204216,0,0,0,0,0.0,0,0,4,0.0,0.0,0,Keshi,0.0,0,0,0.0,528,False,0.0,0,0,0,0,0,Transferred to Swindon Town,2017-09-04T11:31:15Z,45,0,0,0,204216.jpg,0.0,0,0,Anderson,0.3,False,31,u,6,31,0.0,0,59806,1,52265,3,0.0,0.0,Anderson,0
0,0,3,None,None,0,221245,0,0,-1,1,0.5,0,0,3,0.0,0.5,0,Levi,0.0,0,0,2.3,544,False,4.2,0,0,0,0,25,,None,44,0,0,0,221245.jpg,1.0,0,0,Lumeka,0.0,False,32,a,6,31,18.0,1,807,0,723,0,0.0,0.2,Lumeka,0
0,0,0,0,0,0,49438,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Jordon,0.0,0,0,0.0,552,False,0.0,0,0,0,0,0,One-year loan to Vancouver Whitecaps,2018-03-04T09:03:27Z,45,0,0,0,49438.jpg,0.0,0,0,Mutch,0.0,False,22,u,6,31,0.0,0,696,0,673,0,0.0,0.0,Mutch,0
0,0,0,None,None,0,199806,0,0,0,0,0.0,0,0,1,0.0,0.5,0,Dion,0.0,0,0,0.0,555,False,0.0,0,0,0,0,0,,None,40,0,0,0,199806.jpg,0.0,0,0,Henry,0.1,False,30,a,6,31,0.0,0,7410,2,3590,2,0.0,0.0,Henry,0
0,0,91,None,None,1,214590,0,0,0,0,44.3,0,0,3,1.0,1.5,0,Aaron,1.0,10,0,21.9,579,False,173.8,0,0,0,0,537,,None,45,0,0,0,214590.jpg,2.0,0,0,Wan-Bissaka,0.0,False,29,a,6,31,2.0,12,1009,0,479,3,0.2,2.7,Wan-Bissaka,1
0,0,0,None,None,0,185478,0,0,-2,2,0.0,0,0,2,0.0,0.5,0,Jaroslaw,0.0,0,0,0.0,605,False,0.0,0,0,0,0,0,,None,43,0,0,0,185478.jpg,0.0,0,0,Jach,0.0,False,33,a,6,31,0.0,0,352,0,264,1,0.0,0.0,Jach,0
0,0,0,None,None,0,163776,0,0,-2,2,0.0,0,0,3,0.0,0.5,0,Erdal,0.0,0,0,0.0,606,False,0.0,0,0,0,0,0,,None,48,0,0,0,163776.jpg,0.0,0,0,Rakip,0.0,False,31,a,6,31,0.0,0,218,0,176,1,0.0,0.0,Rakip,0
0,0,25,100,100,0,143877,0,0,0,0,74.0,0,0,4,0.0,0.5,0,Alexander,0.0,9,0,22.5,620,False,48.6,0,0,0,0,360,,2018-04-14T13:31:19Z,55,0,0,0,143877.jpg,2.0,0,0,Sørloth,0.1,False,9,a,6,31,102.0,8,15143,3,10468,15,0.0,1.5,Sørloth,0
0,0,0,None,None,0,209043,0,0,0,0,0.0,0,0,3,0.0,0.5,0,Nya,0.0,0,0,0.0,630,False,0.0,0,0,0,0,0,,None,45,0,0,0,209043.jpg,0.0,0,0,Kirby,0.0,False,36,a,6,31,0.0,0,60,0,43,0,0.0,0.0,Kirby,0
0,0,0,None,None,0,51917,0,0,0,0,0.0,0,0,1,0.0,0.5,0,Diego,0.0,0,0,0.0,633,False,0.0,0,0,0,0,0,,None,40,0,0,0,51917.jpg,0.0,0,0,Cavalieri,0.0,False,16,a,6,31,0.0,0,973,6,315,2,0.0,0.0,Cavalieri,0
0,0,0,None,None,0,432705,0,0,0,0,0.0,0,0,4,0.0,0.5,0,James,0.0,0,0,0.0,638,False,0.0,0,0,0,0,0,,None,45,0,0,0,432705.jpg,0.0,0,0,Daly,0.0,False,37,a,6,31,0.0,0,3160,45,1214,23,0.0,0.0,Daly,0
2,3,184,100,100,2,20467,0,0,-7,7,217.1,1,0,3,2.3,1.8,0,Theo,1.8,15,2,81.4,15,False,243.8,0,0,0,0,1005,,2018-03-10T17:01:18Z,68,0,0,0,20467.jpg,2.8,0,0,Walcott,2.8,False,11,a,7,11,352.0,47,597725,33,585059,684,0.3,6.9,Walcott,2
0,16,650,100,100,8,111234,0,0,-1,1,30.1,3,0,1,4.3,3.8,0,Jordan,3.8,54,0,84.8,135,False,813.8,0,0,0,0,3060,,2017-08-29T08:31:13Z,49,0,0,1,111234.jpg,3.8,0,112,Pickford,8.5,False,1,a,7,11,4.0,129,455443,358,525651,553,0.8,26.3,Pickford,0
0,0,0,None,None,0,78315,0,0,-3,3,0.0,0,0,1,0.5,0.0,0,Joel,0.0,0,0,0.0,136,False,0.0,0,0,0,0,0,,None,42,0,0,0,78315.jpg,0.0,0,0,Robles,0.2,False,33,a,7,11,0.0,0,1951,3,9433,1,0.0,0.0,Robles,0
0,0,0,0,0,0,10318,0,0,-3,3,0.0,0,0,1,0.0,0.0,0,Maarten,0.0,0,0,0.0,137,False,0.0,0,0,0,0,0,Groin Injury - Unknown return date,2018-01-02T15:31:16Z,42,0,0,0,10318.jpg,0.0,0,0,Stekelenburg,0.3,False,22,i,7,11,0.0,0,2575,0,22974,2,0.0,0.0,Stekelenburg,0
2,5,296,100,100,3,12745,0,0,-4,4,278.0,2,0,2,2.8,2.3,0,Leighton,2.3,30,2,70.0,138,False,335.0,0,0,0,0,1549,,2017-11-26T14:01:14Z,56,0,0,0,12745.jpg,3.3,0,0,Baines,4.0,False,3,a,7,11,87.0,59,154266,70,473902,332,0.4,10.5,Baines,1
1,0,123,100,100,2,59949,0,0,-1,1,76.3,0,0,2,2.8,2.3,0,Seamus,2.3,8,0,24.6,139,False,139.8,0,0,0,0,675,,2018-02-10T18:01:19Z,64,0,0,0,59949.jpg,3.0,0,0,Coleman,0.5,False,23,a,7,11,29.0,24,34514,33,28215,113,0.4,3.8,Coleman,0
