,first_name,second_name,id,position
231,Georginio,Wijnaldum,232,Midfielder
232,Ben,Woodburn,233,Midfielder
233,Mohamed,Salah,234,Forward
234,Roberto,Firmino,235,Forward
235,Daniel,Sturridge,236,Forward
236,Danny,Ings,237,Forward
237,Divock,Origi,238,Forward
238,Dominic,Solanke,239,Forward
239,Ederson,Santana de Moraes,240,
240,Claudio,Bravo,241,Goalkeeper
241,John,Stones,242,Defender
242,Aleksandar,Kolarov,243,Defender
243,Vincent,Kompany,244,Defender
244,Nicolás,Otamendi,245,Defender
245,Fabian,Delph,246,Midfielder
246,Raheem,Sterling,247,
247,David,Silva,248,Midfielder
248,Gnegneri Yaya,Touré,249,
249,Fernando,Luiz Rosa,250,
250,Fernando Francisco,Reges,251,
251,Kevin,De Bruyne,252,Midfielder
252,Ilkay,Gündogan,253,Midfielder
253,Manuel,Agudo Durán,254,
254,Leroy,Sané,255,Midfielder
255,Bernardo Mota,Veiga de Carvalho e Silva,256,
256,Sergio,Agüero,257,Forward
257,Kelechi,Iheanacho,258,Forward
258,Gabriel Fernando,de Jesus,259,
259,David,de Gea,260,Goalkeeper
260,Sergio,Romero,261,Goalkeeper
261,Joel Dinis,Castro Pereira,262,
262,Chris,Smalling,263,Defender
263,Phil,Jones,264,
264,Luke,Shaw,265,Defender
265,Marcos,Rojo,266,Defender
266,Antonio,Valencia,267,Defender
267,Matteo,Darmian,268,Defender
268,Timothy,Fosu-Mensah,269,Defender
269,Daley,Blind,270,Defender
270,Eric,Bailly,271,Defender
271,Axel,Tuanzebe,272,Defender
272,Victor,Lindelöf,273,Defender
273,Juan,Mata,274,Midfielder
274,Marouane,Fellaini,275,Midfielder
275,Michael,Carrick,276,Midfielder
276,Ashley,Young,277,Midfielder
277,Ander,Herrera,278,Midfielder
278,Jesse,Lingard,279,Midfielder
279,Anthony,Martial,280,Forward
280,Henrikh,Mkhitaryan,281,Midfielder
281,Paul,Pogba,282,Midfielder
282,Scott,McTominay,283,Midfielder
283,Marcus,Rashford,284,Forward
284,Romelu,Lukaku,285,Forward
285,Robert,Elliot,286,Goalkeeper
286,Karl,Darlow,287,Goalkeeper
287,DeAndre,Yedlin,288,Defender
288,Ciaran,Clark,289,Defender
289,Jamaal,Lascelles,290,Defender
290,Paul,Dummett,291,Defender
291,Grant,Hanley,292,Defender
292,Jesús,Gámez Duarte,293,
293,Florian,Lejeune,294,Defender
294,Matt,Ritchie,295,Midfielder
295,Jonjo,Shelvey,296,Midfielder
296,Yoan,Gouffran,297,Midfielder
297,Mohamed,Diamé,298,Midfielder
298,Jack,Colback,299,Midfielder
299,Christian,Atsu,300,Midfielder
300,Dwight,Gayle,301,Forward
301,Ayoze,Pérez,302,Forward
